X,Y,OBJECTID,TNF_LS_NO,SLIDE_NO,INVENTORY,CONFID_DAT,YR_INT_TYP,YR_OCCURANCE,LATEST_YEAR_NOTSEEN,FIRST_YEAR_SEEN,TREATMENT,RD_RELATED,STRM_IMPAC,PRED_COVER,COVER_SPP,COVER_PERCENT,FAIL_TYPE,VEG_CLASS,EXAMINER,SLOPE_PER,SLOPE_SHA,BDRK_F_ZON,PM_F_ZONE,LANDSLIDE_NAME,LANDWEHR_N,GROUPED_SL,RECURRANCE,NUMBER_
-132.952660496863,54.797666656023,36327,6440,C1869,T10,E00001978,2008P,1978,1972,1985,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,Yes,
-132.954296016173,54.7979851117922,36328,6441,C1870,T10,E000-1948,2008P,-1948,,1948,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.929057643011,54.7874426413685,36329,6442,C1871,T10,E00001978,2008P,1978,1972,1985,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.925273057646,54.7875460059,36330,6443,C1872,T10,E00001978,2008P,1978,1972,1985,N,N,N,BATR,ALRU2,100,TRZO-DEFL-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.927871013955,54.7852361435414,36331,6444,C1873,T10,E000-1929,2008P,-1929,,1929,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.931005303906,54.7890687850903,36332,6445,C1874,T10,E00001991,2008P,1991,1985,1997,N,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.918536032484,54.7865145228493,36333,6446,C1875,T10,E00001960,2008P,1960,1948,1972,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.916611121652,54.7850330671238,36334,6447,C1876,T10,E00001960,2008P,1960,1948,1972,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.913419331997,54.7842947555742,36335,6448,C1877,T10,E00001960,2008P,1960,1948,1972,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.816533701824,54.7874724971739,36336,6449,C1878,T10,E000-1929,2006P,-1929,,1929,N,N,Y,BATR,ALRU2,100,SOAR-DEFL-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.766930171907,54.7791180341581,36337,6450,C1879,T10,E00002001,2006P,2001,1997,2005,N,N,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.818254680794,54.7416955740413,36338,6454,C1883,T10,E00001978,2006P,1978,1972,1985,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.791163651677,54.7341322278585,36339,6457,C1886,T10,E000-1929,2006P,-1929,,1929,N,N,N,BATR,CON1,80,TRZO-DEFL-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.766524129447,54.7208842483422,36340,6458,C1887,T10,E00001960,2006P,1960,1948,1972,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.787806234841,54.7115003003788,36341,6460,C1889,T10,E00001960,2006P,1960,1948,1972,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.781209292105,54.7186312402883,36342,6461,C1890,T10,E00001978,2006P,1978,1972,1985,N,N,Y,BATR,ALRU2,90,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.777537518566,54.7135178258139,36343,6462,C1891,T10,E00002001,2006P,2001,1997,2006,N,N,N,BATR,ALRU2,40,SOAR-DEAV-FLOW,PV,Darin Silkworth,,,,,,,,,
-132.779154443354,54.7149807725841,36344,6463,C1892,T10,E00001978,2006P,1978,1972,1985,N,N,N,BATR,PISI,100,TRZO-DEFL-FLOW,CO,Darin Silkworth,,,,,,,,,
-132.740282471694,54.7187580940253,36345,6464,C1893,T10,E00001960,2006P,1960,1972,1985,N,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.727444996997,54.7132687708356,36346,6465,C1894,T10,E00002001,2006P,2001,1997,2006,N,N,N,BATR,ALRU2,30,TRZO-DEFL-FLOW,PV,Darin Silkworth,,,,,,,,,
-132.725692317096,54.7115728300845,36347,6466,C1895,T10,E000-1929,2006P,-1929,,1929,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.723983382247,54.7099891253271,36348,6467,C1896,T10,E000-1929,2006P,-1929,,1929,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
